Time Stamp,RRI,Passed Time
165620,698,319115
165620,803,319918
165621,798,320716
165622,704,321420
165623,696,322116
165623,802,322918
165624,698,323616
165625,701,324317
165625,699,325016
165626,801,325817
165627,700,326517
165628,700,327217
165628,702,327919
165629,798,328717
165630,702,329419
165631,699,330118
165631,701,330819
165632,798,331617
165633,701,332318
165633,698,333016
165634,700,333716
165635,703,334419
165636,797,335216
165636,699,335915
165637,701,336616
165638,801,337417
165639,699,338116
165639,801,338917
165640,703,339620
165641,696,340316
165642,802,341118
165642,701,341819
165643,797,342616
165644,701,343317
165644,702,344019
165645,600,344619
165646,697,345316
165646,702,346018
165647,797,346815
165648,705,347520
165649,696,348216
165649,701,348917
165650,799,349716
165651,701,350417
165652,702,351119
165652,697,351816
165653,802,352618
165654,697,353315
165654,604,353919
165655,697,354616
165656,700,355316
165656,700,356016
165657,599,356615
165658,605,357220
165658,599,357819
165659,597,358416
165659,602,359018
165700,700,359718
165701,700,360418
165702,798,361216
165702,700,361916
165703,701,362617
165704,800,363417
165705,703,364120
165705,696,364816
165706,703,365519
165707,696,366215
165707,703,366918
165708,800,367718
165709,699,368417
165710,698,369115
165710,702,369817
165711,698,370515
165712,704,371219
165712,698,371917
165713,703,372620
165714,798,373418
165715,799,374217
165715,798,375015
165716,699,375714
165717,702,376416
165718,800,377216
165718,703,377919
165719,697,378616
165720,698,379314
165720,705,380019
165721,697,380716
165722,700,381416
165722,601,382017
165723,799,382816
165724,703,383519
165725,699,384218
165725,699,384917
165726,798,385715
165727,729,386444
165728,772,387216
165728,602,387818
165729,797,388615
165730,704,389319
165731,796,390115
165731,602,390717
165732,798,391515
165733,701,392216
165733,701,392917
165734,698,393615
165735,704,394319
165736,797,395116
165736,699,395815
165737,703,396518
165738,698,397216
165738,799,398015
165739,703,398718
165740,698,399416
165741,699,400115
165741,703,400818
165742,698,401516
165743,798,402314
165743,604,402918
165744,697,403615
165745,703,404318
165746,802,405120
165746,696,405816
165747,700,406516
165748,700,407216
165748,803,408019
165749,696,408715
165750,703,409418
165751,699,410117
165751,701,410818
165752,597,411415
165753,701,412116
165753,702,412818
165754,797,413615
165755,704,414319
165756,797,415116
165756,700,415816
165757,801,416617
165758,801,417418
165759,697,418115
165759,702,418817
165800,799,419616
165801,699,420315
165801,704,421019
165802,696,421715
165803,702,422417
165804,698,423115
165804,801,423916
165805,699,424615
165806,807,425422
165807,695,426117
165807,697,426814
165808,703,427517
165809,798,428315
165809,702,429017
165810,702,429719
165811,696,430415
165812,702,431117
165812,701,431818
165813,599,432417
165814,798,433215
165814,702,433917
165815,698,434615
165816,703,435318
165816,699,436017
165817,697,436714
165818,703,437417
165819,702,438119
165819,697,438816
165820,799,439615
165821,801,440416
165822,799,441215
165822,702,441917
165823,602,442519
165824,696,443215
165824,701,443916
165825,699,444615
165826,601,445216
165826,699,445915
165827,699,446614
165828,703,447317
165829,798,448115
165829,703,448818
165830,697,449515
165831,700,450215
165831,703,450918
165832,597,451515
165833,701,452216
165833,599,452815
165834,603,453418
165835,701,454119
165835,600,454719
165836,599,455318
165836,596,455914
165837,704,456618
165838,696,457314
165838,601,457915
165839,798,458713
165840,605,459318
165841,799,460117
165841,599,460716
165842,599,461315
165842,702,462017
165843,601,462618
165844,700,463318
165844,696,464014
165845,801,464815
165846,698,465513
165847,803,466316
165847,599,466915
165848,702,467617
165849,700,468317
165849,696,469013
165850,704,469717
165851,696,470413
165852,803,471216
165852,699,471915
165853,701,472616
165854,702,473318
165854,596,473914
165855,702,474616
165856,798,475414
165856,603,476017
165857,701,476718
165858,697,477415
165859,803,478218
165859,697,478915
165900,703,479618
165901,696,480314
165901,702,481016
165902,601,481617
165903,696,482313
165903,601,482914
165904,700,483614
165905,802,484416
165906,802,485218
165906,797,486015
165907,800,486815
165908,803,487618
165909,898,488516
165910,898,489414
165911,799,490213
165911,803,491016
165912,898,491914
165913,804,492718
165914,700,493418
165915,799,494217
165915,696,494913
165916,800,495713
165917,703,496416
165918,801,497217
165918,701,497918
165919,695,498613
165920,704,499317
165920,600,499917
165921,799,500716
165922,699,501415
165923,798,502213
165923,703,502916
165924,702,503618
165925,698,504316
165926,798,505114
165926,700,505814
165927,703,506517
165928,698,507215
165928,700,507915
165929,600,508515
165930,698,509213
165930,705,509918
165931,798,510716
165932,597,511313
165932,701,512014
165933,700,512714
165934,699,513413
165935,703,514116
165935,797,514913
165936,603,515516
165937,700,516216
165937,599,516815
165938,702,517517
165939,697,518214
165939,703,518917
165940,699,519616
165941,799,520415
165941,598,521013
165942,700,521713
165943,703,522416
165944,701,523117
165944,799,523916
165945,598,524514
165946,799,525313
165946,701,526014
165947,801,526815
165948,706,527521
165949,693,528214
165949,703,528917
165950,699,529616
165951,800,530416
165952,698,531114
165952,799,531913
165953,904,532817
165954,796,533613
165955,800,534413
165956,803,535216
165956,800,536016
165957,800,536816
165958,597,537413
165959,700,538113
165959,703,538816
170000,598,539414
170001,701,540115
170001,698,540813
170002,820,541633
170003,780,542413
170004,804,543217
170004,796,544013
170005,800,544813
170006,700,545513
170007,803,546316
170007,697,547013
170008,700,547713
170009,703,548416
170010,697,549113
170010,602,549715
170011,597,550312
170011,701,551013
170012,699,551712
170013,700,552412
170014,704,553116
170014,797,553913
170015,799,554712
170016,700,555412
170017,703,556115
170017,597,556712
170018,701,557413
170019,699,558112
170019,705,558817
170020,698,559515
170021,697,560212
170021,701,560913
170022,600,561513
170023,702,562215
170023,801,563016
170024,699,563715
170025,697,564412
170026,702,565114
170026,700,565814
170027,702,566516
170028,802,567318
170028,694,568012
170029,703,568715
170030,599,569314
170030,698,570012
170031,700,570712
170032,601,571313
170033,800,572113
170033,703,572816
170034,701,573517
170035,699,574216
170035,700,574916
170036,697,575613
170037,702,576315
170037,698,577013
170038,701,577714
170039,699,578413
170040,801,579214
170040,699,579913
170041,800,580713
170042,702,581415
170043,699,582114
170043,602,582716
170044,696,583412
170044,601,584013
170045,701,584714
170046,698,585412
170047,702,586114
170047,699,586813
170048,802,587615
170049,802,588417
170050,799,589216
170050,796,590012
170051,703,590715
170052,598,591313
170052,702,592015
170053,702,592717
170054,599,593316
170054,596,593912
170055,700,594612
170056,701,595313
170057,801,596114
170057,801,596915
170058,798,597713
170059,800,598513
170100,603,599116
170100,699,599815
170101,698,600513
170102,699,601212
170102,702,601914
170103,700,602614
170104,702,603316
170104,699,604015
170105,797,604812
170106,702,605514
170107,702,606216
170107,695,606911
170108,806,607717
170109,797,608514
170110,699,609213
170110,699,609912
170111,803,610715
170112,698,611413
170113,702,612115
170113,700,612815
170114,699,613514
170115,698,614212
170115,802,615014
170116,799,615813
170117,700,616513
170118,602,617115
170118,700,617815
170119,700,618515
170120,699,619214
170120,699,619913
170121,699,620612
170122,699,621311
170122,705,622016
170123,597,622613
170124,801,623414
170125,698,624112
170125,701,624813
170126,699,625512
170127,700,626212
170127,799,627011
170128,700,627711
170129,704,628415
170130,698,629113
170130,703,629816
170131,696,630512
170132,701,631213
170132,700,631913
170133,701,632614
170134,700,633314
170134,598,633912
170135,700,634612
170136,703,635315
170137,797,636112
170137,700,636812
170138,704,637516
170139,698,638214
170139,597,638811
170140,704,639515
170141,697,640212
170141,700,640912
170142,604,641516
170143,697,642213
170143,803,643016
170144,796,643812
170145,804,644616
170146,800,645416
170147,799,646215
170147,797,647012
170148,702,647714
170149,802,648516
170150,798,649314
170150,702,650016
170151,797,650813
170152,700,651513
170153,699,652212
170153,703,652915
170154,698,653613
170155,801,654414
170155,599,655013
170156,801,655814
170157,702,656516
170158,800,657316
170159,800,658116
170159,796,658912
170200,803,659715
170201,798,660513
170202,803,661316
170203,796,662112
170203,703,662815
170204,696,663511
170205,803,664314
170205,697,665011
170206,704,665715
170207,700,666415
170208,798,667213
170208,698,667911
170209,705,668616
170210,799,669415
170211,698,670113
170211,802,670915
170212,698,671613
170213,702,672315
170214,798,673113
170214,802,673915
170215,699,674614
170216,698,675312
170217,802,676114
170217,598,676712
170218,702,677414
170219,800,678214
170219,799,679013
170220,699,679712
170221,721,680433
170222,779,681212
170222,701,681913
170223,702,682615
170224,696,683311
170224,704,684015
170225,800,684815
170226,698,685513
170227,601,686114
170227,699,686813
170228,700,687513
170229,699,688212
170229,702,688914
170230,703,689617
170231,697,690314
170232,802,691116
170232,695,691811
170233,803,692614
170234,800,693414
170235,697,694111
170235,703,694814
170236,701,695515
170237,798,696313
170237,702,697015
170238,696,697711
170239,601,698312
170240,803,699115
170240,699,699814
170241,797,700611
170242,800,701411
170243,801,702212
170243,698,702910
170244,604,703514
170245,697,704211
170245,701,704912
170246,703,705615
170247,698,706313
170248,799,707112
170248,803,707915
170249,797,708712
170250,803,709515
170251,800,710315
170252,802,711117
170252,695,711812
170253,704,712516
170254,698,713214
170254,697,713911
170255,801,714712
170256,800,715512
170257,802,716314
170258,798,717112
170258,799,717911
170259,801,718712
170300,850,719562
170301,649,720211
170301,703,720914
170302,701,721615
170303,696,722311
170303,702,723013
170304,700,723713
170305,699,724412
170306,799,725211
170306,801,726012
170307,898,726910
170308,801,727711
170309,1003,728714
170310,899,729613
170311,798,730411
